,code,date,Open,High,Low,Close,Diff,Volume,diff
0,000040,2017-06-29,872,921,858,906,39,2018621,1.0033222591362125
1,000040,2017-06-30,903,920,895,907,1,482458,1.0179573512906845
2,000040,2017-07-03,891,922,891,905,2,433745,1.0
3,000040,2017-07-04,905,916,897,906,1,681648,1.0
4,000040,2017-07-05,906,928,901,918,12,906461,0.9924324324324324
5,000040,2017-07-06,925,1045,920,990,72,8860745,0.9919839679358717
6,000040,2017-07-07,998,1010,981,1005,15,1633942,0.9852941176470589
7,000040,2017-07-10,1020,1085,1015,1050,45,4796311,0.9813084112149533
8,000040,2017-07-11,1070,1115,996,1050,0,4964461,0.995260663507109
9,000040,2017-07-12,1055,1055,913,923,127,3883495,0.9829605963791267
10,000040,2017-07-13,939,945,880,917,6,1623694,1.0
11,000040,2017-07-14,917,917,821,885,32,3934982,0.9943820224719101
12,000040,2017-07-17,890,890,858,859,26,772045,0.9930635838150289
13,000040,2017-07-18,865,865,826,835,24,999344,0.9709302325581395
14,000040,2017-07-19,860,860,837,847,12,694199,1.0
15,000040,2017-07-20,847,854,831,838,9,596583,1.0
16,000040,2017-07-21,838,845,829,829,9,561178,1.0
17,000040,2017-07-24,829,834,815,819,10,795685,0.998780487804878
18,000040,2017-07-25,820,833,815,817,2,537158,0.9987775061124694
19,000040,2017-07-26,818,832,799,803,14,1053263,0.9987562189054726
20,000040,2017-07-27,804,827,800,820,17,828923,1.0211706102117062
21,000040,2017-07-28,803,819,800,806,14,587729,1.0
22,000040,2017-07-31,806,813,774,776,30,799116,1.001290322580645
23,000040,2017-08-01,775,789,774,780,4,330150,0.9936305732484076
24,000040,2017-08-02,785,805,775,790,10,363511,0.9899749373433584
25,000040,2017-08-03,798,815,783,790,0,344475,1.0
26,000040,2017-08-04,790,798,775,778,12,263236,0.9823232323232324
27,000040,2017-08-07,792,814,783,805,27,373437,0.9938271604938271
28,000040,2017-08-08,810,810,793,795,10,328210,1.0
29,000040,2017-08-09,795,799,781,783,12,220854,1.0
30,000040,2017-08-10,783,800,770,779,4,183361,1.0
31,000040,2017-08-11,779,800,663,703,76,1176028,0.963013698630137
32,000040,2017-08-14,730,730,705,716,13,390331,1.0156028368794325
33,000040,2017-08-16,705,728,705,715,1,343691,1.0
34,000040,2017-08-17,715,729,710,722,7,189055,1.0097902097902098
35,000040,2017-08-18,715,725,707,712,10,345145,1.0099290780141843
36,000040,2017-08-21,705,712,700,700,12,384536,1.0144927536231885
37,000040,2017-08-22,690,705,690,697,3,301699,1.0028776978417266
38,000040,2017-08-23,695,704,674,681,16,680344,1.0059084194977843
39,000040,2017-08-24,677,717,675,682,1,612969,0.9985358711566618
40,000040,2017-08-25,683,694,677,688,6,531400,1.0014556040756915
41,000040,2017-08-28,687,687,675,680,8,432477,1.0074074074074073
42,000040,2017-08-29,675,685,675,679,1,414163,0.9985294117647059
43,000040,2017-08-30,680,688,675,685,6,273622,0.9898843930635838
44,000040,2017-08-31,692,692,676,678,7,242412,1.0014771048744462
45,000040,2017-09-01,677,685,651,681,3,508066,1.0209895052473763
46,000040,2017-09-04,667,675,660,670,11,527144,1.0
47,000040,2017-09-05,670,676,661,663,7,280100,1.0
48,000040,2017-09-06,663,664,640,649,14,768036,1.0
49,000040,2017-09-07,649,653,648,651,2,259033,1.0015384615384615
50,000040,2017-09-08,650,654,643,648,3,154679,1.0156739811912225
51,000040,2017-09-11,638,638,598,603,45,2322651,0.9934102141680395
52,000040,2017-09-12,607,613,603,604,1,589485,1.0066666666666666
53,000040,2017-09-13,600,604,573,576,28,1481177,1.0017391304347827
54,000040,2017-09-14,575,598,573,583,7,1128688,0.9914965986394558
55,000040,2017-09-15,588,590,580,582,1,383397,1.0069204152249136
56,000040,2017-09-18,578,587,569,580,2,663807,1.0051993067590987
57,000040,2017-09-19,577,585,576,585,5,466036,1.0017123287671232
58,000040,2017-09-20,584,585,565,575,10,529459,0.9965337954939342
59,000040,2017-09-21,577,581,533,542,33,1546327,1.0055658627087198
60,000040,2017-09-22,539,547,498,501,41,1661678,1.0203665987780042
61,000040,2017-09-25,491,503,473,493,8,1506032,1.0123203285420945
62,000040,2017-09-26,487,520,487,510,17,649538,0.9826589595375722
63,000040,2017-09-27,519,544,513,527,17,1178233,0.9868913857677902
64,000040,2017-09-28,534,534,503,507,20,651894,0.9863813229571985
65,000040,2017-09-29,514,524,507,517,10,346895,1.009765625
66,000040,2017-10-10,512,518,497,500,17,357152,1.0141987829614605
67,000040,2017-10-11,493,508,492,505,5,326565,1.0
68,000040,2017-10-12,505,509,497,500,5,325919,1.002004008016032
